"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-05-14",82577,1879,6795,10655,3206,45635,164551,8978480,338711,582,5940,0,1423232,26785,246414,56,10599717,374675
"2020-05-13",80698,1704,6713,10990,1809,46742,161345,8639769,299164,572,6156,0,1396447,21285,243430,56,10225042,323573
"2020-05-12",78994,1486,5595,11240,1579,47402,159536,8340605,286983,559,6352,0,1375162,22890,238857,56,9901469,319634
"2020-05-11",77508,892,6488,11148,1238,46372,157957,8053622,365238,551,6350,0,1352272,18377,232142,56,9581835,393578
"2020-05-10",76616,1036,6445,11393,1055,46981,156719,7688384,245353,547,6395,0,1333895,21055,215591,56,9188257,258233
"2020-05-09",75580,1445,6367,11496,1708,48564,155664,7443031,267236,543,6551,0,1312840,25218,211976,56,8930024,299045
"2020-05-08",74135,1798,6294,11780,6892,49785,153956,7175795,271123,531,6788,0,1287622,27222,198459,56,8630979,314734
"2020-05-07",72337,2752,5174,12136,3742,51398,147064,6904672,275015,529,7070,0,1260400,27537,194528,56,8316245,295448
"2020-05-06",69585,1948,4911,12478,2119,52560,143322,6629657,220849,449,4753,0,1232863,25115,189425,56,8020797,264570
"2020-05-05",67637,2452,4794,12628,1983,53221,141203,6408808,250081,439,4818,0,1207748,22444,189336,56,7756227,281117
"2020-05-04",65185,1035,4579,12696,1651,52409,139220,6158727,209668,430,4848,0,1185304,22649,186752,56,7475110,234348
"2020-05-03",64150,1232,4502,12720,1963,52623,137569,5949059,211117,425,4761,0,1162655,25701,179733,56,7240762,230974
"2020-05-02",62918,1562,4386,12905,2031,54048,135606,5737942,218321,375,4845,0,1136954,29154,174987,56,7009788,260049
"2020-05-01",61356,1779,4300,12845,9789,54903,133575,5519621,263100,376,4707,0,1107800,33021,163644,56,6749739,297203
"2020-04-30",59577,2139,4192,13255,2290,54919,123786,5256521,203903,373,4712,0,1074779,29975,154648,56,6452536,249834
"2020-04-29",57438,2713,4093,13535,3415,55979,121496,5052618,212653,365,4796,0,1044804,26168,147165,56,6202702,241233
"2020-04-28",54725,2072,3798,13562,2079,56062,118081,4839965,181953,195,4760,0,1018636,25280,139041,56,5961469,212098
"2020-04-27",52653,1270,3720,13812,3076,56189,116002,4658012,173380,195,4867,0,993356,22708,121323,56,5749371,201690
"2020-04-26",51383,1215,2571,14104,2192,56192,112926,4484632,179284,227,5121,0,970648,27310,116529,56,5547681,204025
"2020-04-25",50168,1748,2516,14415,2456,57381,110734,4305348,240717,227,5266,0,943338,35889,112539,56,5343656,278950
"2020-04-24",48420,1895,2468,14605,2338,57295,108278,4064631,202285,227,5187,0,907449,34231,101296,56,5064706,238383
"2020-04-23",46525,1791,2428,14744,2802,58989,105940,3862346,161630,227,5464,0,873218,31812,96921,56,4826323,194831
